220000	2240
171900	1720
201500	2786
140000	1040
159000	2038
229900	2371
90000	2226
97000	2200
145000	1428
363000	1448
98000	1400
337000	1733
125000	1753
127509	1920
147900	1182
221000	1556
212000	2312
57000	979
213000	3000
15100	925
95000	1164
47000	1638
159000	1848
300000	1504
320000	1753
35000	1884
390000	2716
146400	1525
283000	2345
280000	1706
110000	1875
271000	1771
222500	1965
224000	1874
280000	2488
80000	1500
193600	2068
58000	858
110000	1048
154000	1510
129000	1916
30000	1012
88500	1472
90000	1248
59900	1240
100000	4612
59900	1248
81000	1296
530000	3000
152500	1056
165000	2693
133000	1106
120000	1794
225000	2600
69500	1139
7900	1264
107500	1858
167000	1494
57000	1808
187500	2124
195000	1769
135900	1422
395000	3340
3500	1016
218000	2668
89400	1724
95000	1672
180000	1590
163500	1316
3500	1016
84900	1872
100000	1814
71500	1786
174900	1853
243600	1947
118000	1798
129500	1532
135900	1422
110000	1868
160900	1515
141000	1412
20000	1080
165300	2000
215000	1800
185000	1336
42500	1213
132500	1240
180000	1590
222900	2959
330000	1820
89400	1724
14500	742
180000	1590
3500	1016
153500	2169
147500	979
330000	2262
34000	1040
143000	1500
142000	916
105000	1238
35500	1699
118900	1162
220000	2172
142400	1220
14900	925
230000	2053
191000	2330
217900	1340
107000	2290
32000	826
203000	1159
139900	1542
525000	3015
20500	1308
230500	3100
80000	815
56500	896
157000	1582
18000	2076
124900	1276
195000	1176
220000	1923
88000	1020
135000	1364
164000	2600
165000	1420
4000	1052
139000	1124
115000	1723
170000	2129
134400	1008
370000	3179
37500	1332
99800	1500
99000	1975
92500	2051
73300	1532
495500	2830
128000	1304
165000	1420
18000	984
135000	1364
64500	1320
157000	1582
123500	2441
123000	1508
187500	1458
119000	1344
185500	1464
111000	1444
189000	1837
161000	959
192000	1184
51700	1710
163000	1974
54000	1494
11000	1152
20300	1020
153000	1256
72200	930
33000	1958
183000	2246
186300	2166
327000	1890
164900	1928
26000	1092
775000	4900
108500	1562
220000	2169
25000	1408
125000	1247
104000	1528
189000	1196
284000	2204
22200	1953
3000	1214
284000	2204
104000	1528
219000	2600
217250	2270
3000	1214
214500	1536
217000	2334
25000	1408
69800	1508
25000	1176
154000	1388
195000	1872
19200	1236
128900	1150
83500	1203
95000	1153
213000	1148
194000	2081
30000	768
20000	1120
128000	1586
245000	1400
181000	1852
162000	2310
131500	1660
10200	672
181000	1852
128000	1586
182000	1814
244000	2730
75000	1326
320000	3674
18000	1248
104000	1452
40000	1888
282000	2457
8500	1062
160000	1790
4000	1142
178000	1758
42000	968
114900	1220
27000	993
135000	1328
66000	1870
